41 4.14634
72 1.85366
80 3.36585
65 3.31707
96 1.07317
49 3.26829
51 2.97561
63 4.2439
66 1.17073
80 4.04878
71 2.92683
64 2.53659
90 2.92683
49 1.5122
23 4.82927
94 0.536585
25 1.17073
51 0.731707
13 1.90244
67 4.73171
19 3.70732
12 1.60976
99 0.878049
92 1.70732
74 0
95 3.46341
39 1.60976
39 1.56098
37 2.19512
57 3.46341
95 0.243902
71 1.17073
86 0.390244
51 2.63415
74 1.17073
75 3.41463
33 3.07317
29 4.82927
58 4.58537
52 0.634146
35 4.82927
46 2.78049
71 1.12195
17 0.146341
94 2.34146
77 0.878049
83 0.536585
83 1.21951
59 3.02439
2 3.80488
86 0.341463
94 3.17073
80 1.56098
39 4.09756
60 3.17073
72 2.97561
58 4.09756
8 3.5122
12 0.926829
47 2.39024
49 2.87805
71 2.53659
34 1.07317
21 0.97561
92 1.60976
80 1.90244
74 0.439024
28 4.73171
100 4.53659
29 1.21951
4 3.21951
79 3.95122
98 1.02439
91 3.02439
82 0.195122
59 4.87805
34 0.0487805
51 3.90244
92 3.36585
77 1.90244
38 4.73171
51 1.65854
35 0.926829
22 0.0487805
67 0.439024
90 1.5122
82 0.536585
51 4.09756
78 3.41463
74 2.04878
100 4.29268
53 3.90244
57 3.02439
32 2.4878
48 3.07317
92 2.2439
4 2.97561
31 4.78049
69 2.53659
88 0.97561
68 2
48 3.85366
97 4.78049
56 2.14634
73 0.146341
63 4.87805
87 4.2439
41 3.85366
64 4.04878
63 0.0487805
21 3.5122
24 0.439024
75 2.4878
25 2.58537
77 0
52 1.46341
96 4.53659
32 4.34146
70 4.34146
55 3.46341
79 1.95122
10 3.12195
80 1.46341
19 3.02439
67 4.78049
42 0.390244
32 2.78049
27 1.07317
1 1.85366
89 2.53659
74 2.09756
8 0.097561
65 4
20 3.26829
22 2.09756
22 4.63415
16 2.34146
25 0.292683
75 4.19512
96 0.146341
85 2.09756
69 4.53659
4 2.97561
53 3.95122
43 4.09756
20 0.731707
34 1.07317
35 1.26829
28 1.60976
67 0.926829
79 0.926829
45 0.390244
13 2.4878
0 4.19512
68 0.878049
47 4
3 0.780488
80 0
18 1.90244
22 0.243902
26 3.17073
70 1.02439
92 3.21951
65 0.682927
6 2.2439
46 1.02439
32 3.90244
35 4.19512
6 3.26829
29 2.04878
71 0.682927
77 2.68293
3 0.0487805
14 1.85366
71 4
41 3.17073
12 0.243902
77 0.146341
67 1.07317
59 1.95122
81 2.34146
63 3.07317
25 2.19512
32 3.80488
83 1.26829
96 0.878049
99 2.19512
56 1.5122
30 2.19512
47 3.90244
1 0.341463
81 0.878049
1 4.39024
15 3.46341
22 3.36585
44 0.878049
31 2.92683
16 4.53659
13 0.829268
44 4.73171
